dist,angle,x,y,sample
-723.9886864260172,-1416.7291138136218,-117.06831864904552,1591,0
-706.2777650456093,-1403.2863993505314,-116.71623348017621,1571,0
-697.6412255801333,-1407.5999859232202,-116.3641483113069,1571,0
-688.9783421601554,-1411.8604194587522,-116.0120631424376,1571,0
-682.454589718864,-1420.5744376735972,-115.65997797356829,1576,0
-680.5519833656372,-1439.20568298527,-115.30789280469898,1592,0
-679.2897491600856,-1459.6799089821125,-114.95580763582967,1610,0
-932.1849550922183,-2035.7190890443894,-114.60372246696036,2239,0
-920.0685920810935,-2042.3206863433359,-114.25163729809105,2240,0
-3.1056967903883215,-7.372560440320017,-112.8432966226138,8,0
-3.0603337187416555,-7.391505768781681,-112.4912114537445,8,0
-313.3142691409888,-812.6962339968409,-111.08287077826726,871,0
-308.3143296783989,-814.6062080017311,-110.73078560939794,871,0
-300.168735495578,-808.0487177336437,-110.37870044052863,862,0
-295.8825164817875,-811.7570673794006,-110.02661527165932,864,0
-290.88867732867595,-813.5599408783434,-109.67453010279002,864,0
-289.19269469343135,-824.768807203541,-109.3224449339207,874,0
-284.1190246197476,-826.5303260311283,-108.9703597650514,874,0
-829.7608609183461,-2462.985569118919,-108.61827459618209,2599,0
-816.1772921285369,-2472.786005260813,-108.26618942731278,2604,0
-801.8893679361445,-2480.6092883787583,-107.91410425844347,2607,0
-786.630866807201,-2485.490068253372,-107.56201908957416,2607,0
-776.0766400869917,-2505.560625630776,-107.20993392070486,2623,0
-761.2452966013824,-2512.19636939517,-106.85784875183555,2625,0
-746.077571829885,-2517.7855859489746,-106.50576358296624,2626,0
-731.1481051720629,-2524.2437378952336,-106.15367841409692,2628,0
-716.7120337170577,-2532.537830067926,-105.80159324522761,2632,0
-701.1360395583359,-2536.8942141982293,-105.4495080763583,2632,0
-686.3149527237003,-2544.051254528467,-105.09742290748899,2635,0
-671.9413986982881,-2553.0559642740673,-104.74533773861968,2640,0
-656.4887415887079,-2558.1054575930357,-104.39325256975037,2641,0
-642.4551042250619,-2568.8821380233007,-104.04116740088106,2648,0
-627.6037881215677,-2576.6679035404345,-103.68908223201176,2652,0
-613.1423653363149,-2586.3140644225305,-103.33699706314243,2658,0
-597.462565783352,-2591.0074261737605,-102.98491189427313,2659,0
-582.1856341036776,-2597.5572924275025,-102.63282672540382,2662,0
-566.8507407650761,-2604.017134677513,-102.28074155653451,2665,0
-550.8383352865856,-2607.451270566471,-101.9286563876652,2665,0
-535.6078387331364,-2614.705574837752,-101.57657121879589,2669,0
-534.1293593525237,-2691.512925378153,-101.22448604992658,2744,0
-533.8014372258436,-2779.200609098887,-100.87240088105727,2830,0
-469.773390972293,-2818.113191682405,-99.46406020558004,2857,0
-452.4471966655682,-2820.9467443093404,-99.11197503671073,2857,0
-435.103917290006,-2823.6737738554166,-98.75988986784142,2857,0
-418.4752966712503,-2831.2404394674622,-98.4078046989721,2862,0
-401.9102202439487,-2839.6993106424948,-98.05571953010279,2868,0
-384.4526603964419,-2842.115436064147,-97.70363436123348,2868,0
-0.8530204100076395,-6.947831041419358,-96.99946402349487,7,0
-0.7675686626508391,-6.957789760269881,-96.29529368575625,7,0
