dist,angle,x,y
-718.0730026274389,-1405.1530745429889,-117.06831864904552,1578
-700.8828998765786,-1392.5674707749704,-116.71623348017621,1559
-692.3123301587701,-1396.8481082458943,-116.3641483113069,1559
-683.715617713356,-1401.075998686311,-116.0120631424376,1559
-679.4233827848335,-1414.264779638245,-115.65997797356829,1569
-680.1245009640256,-1438.301659315053,-115.30789280469898,1591
-674.2267199737993,-1448.8003071760345,-114.95580763582967,1598
-930.5195956369397,-2032.0822527977716,-114.60372246696036,2235
-2.8359410814640715,-6.399799854875495,-113.89955212922173,7
-3.1056967903883215,-7.372560440320017,-112.8432966226138,8
-3.0603337187416555,-7.391505768781681,-112.4912114537445,8
-309.3573725157869,-802.4325616960772,-111.08287077826726,860
-304.42057809807466,-804.3184143300674,-110.73078560939794,860
-299.4722883134537,-806.1738947226607,-110.37870044052863,860
-294.51269001659404,-807.9989328081997,-110.02661527165932,860
-289.5419704891913,-809.7934596705733,-109.67453010279002,860
-284.56031743289583,-811.5574075458184,-109.3224449339207,860
-279.5679189622231,-813.29070982468,-108.9703597650514,860
-826.5682450625618,-2453.50890282758,-108.61827459618209,2589
-813.6698350098625,-2465.189120452024,-108.26618942731278,2596
-801.8893679361445,-2480.6092883787583,-107.91410425844347,2607
-786.630866807201,-2485.490068253372,-107.56201908957416,2607
-771.9344086873662,-2492.18744653858,-107.20993392070486,2609
-757.185321686175,-2498.797988758396,-106.85784875183555,2611
-742.1000067096952,-2504.3625097101,-106.50576358296624,2612
-726.6966707417915,-2508.8754350769977,-106.15367841409692,2612
-714.8058846912144,-2525.8023571156177,-105.80159324522761,2625
-699.2713160488722,-2530.1471551179147,-105.4495080763583,2625
-684.2312640626797,-2536.3273797519096,-105.09742290748899,2627
-670.1597358987094,-2546.2864977021286,-104.74533773861968,2633
-655.7430141276075,-2555.1996202689998,-104.39325256975037,2638
-641.2420092397426,-2564.0315297566403,-104.04116740088106,2643
-625.71056402467,-2568.8951496836007,-103.68908223201176,2644
-610.1435501559642,-2573.6646728358137,-103.33699706314243,2645
-595.665010113451,-2583.211992022053,-102.98491189427313,2651
-580.8734200523545,-2591.702542707531,-102.63282672540382,2656
-564.9364230664323,-2595.223080564155,-102.28074155653451,2656
-549.8048674905507,-2602.559241916252,-101.9286563876652,2660
-534.2030973052114,-2607.8479731053185,-101.57657121879589,2662
-531.2095560032934,-2676.7998445178496,-101.22448604992658,2729
-531.5379682340732,-2767.4160128765593,-100.87240088105727,2818
-468.78681752257864,-2812.194858063191,-99.46406020558004,2851
-451.49701004323936,-2815.0224599320723,-99.11197503671073,2851
-434.19015337550127,-2817.743762429749,-98.75988986784142,2851
-418.03664332044184,-2828.2726821933875,-98.4078046989721,2859
-401.34967600372,-2835.738781617889,-98.05571953010279,2864
-383.9164642173674,-2838.1515372690787,-97.70363436123348,2864
-0.8530204100076395,-6.947831041419358,-96.99946402349487,7
-0.7675686626508391,-6.957789760269881,-96.29529368575625,7
-0.6391776980732667,-6.970756907989674,-95.23903817914831,7
-302.59502286129526,-3539.0874886246556,-94.886953010279,3552
-280.84159306900017,-3540.880116525052,-94.53486784140969,3552
-260.46338982043625,-3561.4884279698636,-94.18278267254038,3571
-238.57310158030057,-3563.0217337538593,-93.83069750367108,3571
-217.2805639340687,-3574.402069792442,-93.47861233480177,3581
-199.7841081175789,-3657.5477180952353,-93.12652716593246,3663
-177.5951059157743,-3664.6993025833326,-92.77444199706315,3669
-155.19894729187166,-3668.7187527472715,-92.42235682819384,3672
-65.07185674815751,-3676.424166695044,-91.0140161527166,3677
-42.478976750696624,-3676.7546201146215,-90.66193098384728,3677
-19.884492684856177,-3676.946233894462,-90.30984581497798,3677
2.7129538957509753,-3679.998999983717,-89.95776064610867,3680
110.38349928750289,-3507.2633894655023,-88.19733480176211,3509
129.7904508567275,-3449.5591658741564,-87.8452496328928,3452
148.97359024398972,-3402.740493985666,-87.4931644640235,3406
168.03519645971122,-3364.8068551925453,-87.14107929515419,3369
186.1881865432352,-3318.781396716533,-86.78899412628488,3324
204.96276785793086,-3291.624866808491,-86.43690895741557,3298
222.24993446150475,-3247.403573107577,-86.08482378854626,3255
239.44792488741163,-3209.0791033047335,-85.73273861967695,3218
256.5055454781668,-3174.654296949346,-85.38065345080764,3185
273.06256797591516,-3139.1460357827254,-85.02856828193833,3151
289.749666380738,-3109.529567447824,-84.67648311306903,3123
308.16000378555185,-3100.724659183219,-84.32439794419972,3116
325.00296974255394,-3077.888573301269,-83.97231277533041,3095
341.13252739077666,-3050.98813481075,-83.6202276064611,3070
356.8266328322951,-3023.013521984572,-83.26814243759178,3044
372.06660328788183,-2993.969846661422,-82.91605726872247,3017
387.48090316965806,-2968.8203970059935,-82.56397209985316,2994
402.73578817978745,-2944.586199267939,-82.21188693098385,2972
417.7075789932862,-2920.2774488824803,-81.85980176211454,2950
433.1343215055414,-2900.8418880617974,-81.50771659324523,2933
448.7993219193032,-2884.2919700759794,-81.15563142437591,2919
463.79790041622215,-2864.698152959488,-80.8035462555066,2902
475.2550587100131,-2825.306643387677,-80.4514610866373,2865
489.1688173896429,-2802.63070490809,-80.09937591776799,2845
504.0678951913443,-2786.779423821944,-79.74729074889868,2832
516.2142492338975,-2757.0904680274607,-79.39520558002937,2805
530.4858598646991,-2740.1214849863154,-79.04312041116006,2791
542.607519220272,-2713.2758945757105,-78.69103524229075,2767
557.0470359075046,-2699.117374214516,-78.33895007342144,2756
566.7541274194958,-2663.366058027504,-77.98686490455214,2723
582.4674018621918,-2656.9026564343503,-77.63477973568283,2720
594.1601315872315,-2632.788395984805,-77.28269456681352,2699
605.5786661167251,-2608.6315338016384,-76.93060939794421,2678
620.436728253783,-2599.997551197643,-76.5785242290749,2673
631.4022251321821,-2575.739744247879,-76.22643906020559,2652
642.0932106337727,-2551.446121096429,-75.87435389133628,2631
650.7596374623106,-2520.3414241427536,-75.52226872246696,2603
659.8361444190149,-2492.127657749147,-75.17018355359765,2578
675.137827557561,-2488.0259069794383,-74.81809838472834,2578
683.1831482152185,-2457.816467109524,-74.46601321585904,2551
694.7151175781845,-2441.068394250421,-74.11392804698973,2538
704.6690324247062,-2419.4713378632177,-73.7618428781204,2520
712.6707917411808,-2392.0945513501338,-73.4097577092511,2496
726.7739552796126,-2385.756822881835,-73.05767254038179,2494
734.2859626923617,-2358.3307921054993,-72.70558737151248,2470
743.9137640286524,-2338.5269533808505,-72.35350220264317,2454
758.2699823519711,-2333.9114451632354,-72.00141703377386,2454
772.5975672901301,-2329.2078050310092,-71.64933186490455,2454
848.234769936544,-2231.202988316101,-69.1847356828194,2387
861.9295121109834,-2225.948453166003,-68.83265051395009,2387
880.7271417937089,-2233.6339677099927,-68.48056534508078,2401
894.4362088732054,-2228.179720816193,-68.12848017621145,2401
904.7075009368929,-2214.3099010184915,-67.77639500734215,2392
918.2973687290063,-2208.708659507945,-67.42430983847284,2392
880.8188289150206,-2082.373451287922,-67.07222466960353,2261
893.5983973659727,-2076.9214968854662,-66.72013950073422,2261
904.3399227584034,-2066.810418036769,-66.36805433186491,2256
645.8999122060483,-1451.803810234778,-66.01596916299559,1589
654.809061385061,-1447.807339782478,-65.66388399412628,1589
663.6934840148275,-1443.7561980044484,-65.31179882525697,1589
673.8226108329812,-1442.3685691009164,-64.95971365638766,1592
963.5469848735684,-2029.9227098441595,-64.60762848751835,2247
