angle,dist,x,y,sample
-119.885,311,-154.95909935659725,-269.6454663564589,0
-119.5329148311307,311,-153.29920039910095,-270.5925999671763,0
-119.18082966226139,312,-152.1210802040191,-272.40260086416646,0
-118.82874449339208,311,-149.962098975892,-272.4561778905826,0
-118.47665932452277,311,-148.285022524017,-273.3725518318395,0
-118.12457415565346,311,-146.602346612501,-274.27860282513495,0
-117.77248898678414,312,-145.38009662982313,-276.05910146905734,0
-117.42040381791483,311,-143.22045078081783,-276.05959950369294,0
-117.06831864904552,317,-144.2516741653347,-282.277265291589,0
-116.71623348017621,317,-142.51435488189568,-283.1583632044038,0
-116.3641483113069,314,-139.43943019233728,-281.34079922335525,0
-116.0120631424376,311,-136.3922752462179,-279.4962383524328,0
-115.65997797356829,310,-134.23916422135017,-279.42771299417205,0
-115.30789280469898,310,-132.51954449959015,-280.24733776723224,0
-114.95580763582967,310,-130.79492064573077,-281.0563799903446,0
-114.60372246696036,315,-131.14705710319285,-286.4008544211624,0
-114.25163729809105,316,-129.79539066858283,-288.1130968234349,0
-113.89955212922173,316,-128.02248310609238,-288.9052505915223,0
-113.54746696035242,316,-126.2447412271274,-289.68649487419265,0
-113.19538179148311,316,-124.46223216182517,-290.4568001705175,0
-112.8432966226138,316,-122.6750232203387,-291.2161373926407,0
-112.4912114537445,318,-121.64826531998081,-293.81235430907185,0
-112.13912628487519,321,-120.97106026200541,-297.3331508242669,0
-111.78704111600588,324,-120.25513549185851,-300.8566143328658,0
-111.43495594713657,324,-118.4040990550055,-301.58990256136303,0
-111.08287077826726,327,-117.62774513100268,-305.11098566815957,0
-110.73078560939794,327,-115.750615160547,-305.8280482394559,0
-110.37870044052863,329,-114.56556145944914,-308.4083853066923,0
-110.02661527165932,768,-263.00668131714446,-721.5618376705784,0
-109.67453010279002,778,-261.9344802797568,-732.580594911286,0
-109.3224449339207,779,-257.75870613979754,-735.1200238118518,0
-108.9703597650514,779,-253.2365219436881,-736.6900732016578,0
-108.61827459618209,781,-249.34329833675582,-740.1276373535497,0
-108.26618942731278,781,-244.79050121059421,-741.6458794580242,0
-107.91410425844347,781,-240.22846043656648,-743.1361159278138,0
-107.56201908957416,781,-235.6573482840138,-744.5982904894068,0
-107.20993392070486,780,-230.7814636934249,-745.0771208509361,0
-106.85784875183555,780,-226.19860241869648,-746.4812069059934,0
-106.50576358296624,784,-222.74364673062826,-751.6922693769978,0
-106.15367841409692,789,-219.51136034275402,-757.849432724254,0
-105.80159324522761,790,-215.12253291659405,-760.146233189081,0
-105.4495080763583,791,-210.7137565693935,-762.4176760755316,0
-105.09742290748899,799,-208.10840501944463,-771.4219933086318,0
-104.74533773861968,813,-206.92740800822284,-786.2251889980366,0
-104.39325256975037,819,-203.58359688040582,-793.2935894618313,0
-104.04116740088106,819,-198.70495859528916,-794.529634078959,0
-103.68908223201176,823,-194.76542896834474,-799.6220530217864,0
-103.33699706314243,819,-188.92535636209251,-796.9116699631498,0
-102.98491189427313,819,-184.0247617061171,-798.0575712810491,0
-102.63282672540382,823,-179.9920273731505,-803.0765032561362,0
-102.28074155653451,825,-175.47912237568022,-806.1216270577667,0
-101.9286563876652,825,-170.5221863457535,-807.1847272860557,0
-101.57657121879589,825,-165.55881114830933,-808.2173470367723,0
-101.22448604992658,828,-161.17314487751082,-812.162063488743,0
-98.4078046989721,741,-108.3473776496843,-733.0360466965022,0
-98.05571953010279,734,-102.85986808195896,-726.7570760151991,0
-97.70363436123348,734,-98.39199886017725,-727.3754288950781,0
-97.35154919236417,734,-93.9204142124056,-727.9663150133872,0
-96.99946402349487,734,-89.44528299222962,-728.5297120574012,0
-96.64737885462556,743,-86.00860111860885,-738.0050951948909,0
-96.29529368575625,761,-83.44567889675551,-756.4111439379113,0
-95.94320851688693,766,-79.3136649989537,-761.882761679534,0
-95.59112334801762,770,-75.02010761528227,-766.3367298083731,0
-93.12652716593246,7,-0.3817878124005057,-6.989580678860674,0
-92.42235682819384,7,-0.29585855965226077,-6.993744899028023,0
-90.30984581497798,7,-0.03785462300625326,-6.999897644074309,0
-89.60567547723936,7,0.048175448393405124,-6.999834221334966,0
-88.90150513950074,5411,103.73524196251441,-5410.005545244383,0
-81.85980176211454,7,0.9911705264247469,-6.929471912602495,0
-77.98686490455214,4997,1040.0552239130445,-4887.565255954255,0
-77.63477973568283,4997,1070.069708494622,-4881.0818287509,0
-77.28269456681352,4997,1100.0437856766937,-4874.414084748452,0
-76.93060939794421,5011,1133.1421568001904,-4881.1996325168075,0
