,angle,dist,x,y
0,-13.0,293.0,286.0,-65.0
1,-12.0,292.0,285.0,-63.0
2,-12.0,294.0,287.0,-62.0
3,-12.0,291.0,284.0,-61.0
4,-12.0,290.5,284.5,-59.0
5,-11.0,292.0,286.0,-58.0
6,-11.0,289.0,283.0,-57.0
7,-11.0,291.0,286.0,-56.0
8,-11.0,290.0,285.0,-54.0
9,-10.0,289.0,284.0,-52.0
10,-10.0,287.0,283.0,-50.0
11,-10.0,286.0,282.0,-48.0
12,-9.0,288.5,284.5,-47.0
13,-9.0,288.0,284.0,-45.0
14,-9.0,288.0,285.0,-43.0
15,-8.0,290.0,287.0,-42.0
16,-8.0,290.0,287.0,-40.0
17,-8.0,289.0,286.0,-38.0
18,-7.0,292.0,290.0,-37.0
19,-7.0,288.0,286.0,-36.0
20,-7.0,292.0,290.0,-35.0
21,-7.0,292.0,290.0,-33.0
22,-6.0,291.0,289.0,-31.0
23,-6.0,294.5,292.5,-30.0
24,-5.0,294.0,293.0,-28.0
25,-5.0,293.5,292.5,-26.0
26,-5.0,293.0,292.0,-24.0
27,-4.0,291.0,290.0,-22.0
28,-4.0,293.0,292.0,-21.0
29,-4.0,293.0,292.0,-19.0
30,-3.0,293.0,293.0,-17.0
31,-3.0,292.0,292.0,-15.0
32,-3.0,291.0,291.0,-13.0
33,-2.0,292.0,292.0,-12.0
34,-2.0,290.0,290.0,-10.0
35,-2.0,290.0,290.0,-8.0
36,-1.0,290.0,290.0,-6.0
37,-1.0,289.0,289.0,-4.0
38,-1.0,289.0,289.0,-3.0
39,-0.0,289.0,289.0,-1.0
40,0.0,290.0,290.0,1.0
41,1.0,290.0,290.0,3.0
42,1.0,290.0,290.0,4.0
43,1.0,292.0,292.0,6.0
44,2.0,293.0,293.0,8.0
45,2.0,294.0,294.0,10.0
46,2.0,294.0,294.0,12.0
47,3.0,297.0,297.0,14.0
48,3.0,300.0,300.0,16.0
49,3.0,309.0,308.0,18.0
